Date,Price,Open,High,Low,Vol,Change %
5/5/2022,"32,496.00","32,676.00","33,218.00","30,781.00",290.70K,-0.55%
5/4/2022,"32,676.00","30,690.00","33,127.00","30,690.00",456.62K,6.47%
4/29/2022,"30,690.00","30,239.00","30,871.00","30,239.00",295.13K,1.19%
4/28/2022,"30,329.00","30,149.00","30,871.00","29,788.00",285.11K,0.30%
4/27/2022,"30,239.00","28,434.00","30,239.00","27,982.00",192.70K,7.72%
4/26/2022,"28,073.00","27,892.00","28,073.00","25,274.00",328.41K,0.33%
4/25/2022,"27,982.00","31,051.00","31,412.00","27,982.00",482.92K,-9.88%
4/22/2022,"31,051.00","31,142.00","32,044.00","29,968.00",357.91K,0.00%
4/21/2022,"31,051.00","30,781.00","31,142.00","28,434.00",499.92K,0.88%
4/20/2022,"30,781.00","33,037.00","33,398.00","30,781.00",533.10K,-6.83%
4/19/2022,"33,037.00","35,835.00","36,919.00","32,496.00",476.68K,-7.81%
4/18/2022,"35,835.00","39,356.00","39,536.00","35,745.00",744.56K,-9.57%
4/15/2022,"39,627.00","40,168.00","41,071.00","39,536.00",419.43K,-2.44%
4/14/2022,"40,619.00","40,439.00","40,619.00","39,807.00",287.21K,1.12%
4/13/2022,"40,168.00","37,911.00","40,168.00","37,460.00",479.39K,3.49%
4/12/2022,"38,814.00","42,154.00","42,696.00","38,814.00",444.12K,-7.92%
4/8/2022,"42,154.00","43,237.00","44,050.00","41,973.00",489.13K,-3.51%
4/7/2022,"43,688.00","44,411.00","45,042.00","43,237.00",492.51K,-1.63%
4/6/2022,"44,411.00","44,230.00","44,862.00","43,327.00",598.75K,0.41%
4/5/2022,"44,230.00","43,688.00","44,230.00","42,605.00",428.10K,3.59%
4/4/2022,"42,696.00","42,515.00","43,147.00","42,154.00",361.90K,1.29%
4/1/2022,"42,154.00","43,508.00","43,508.00","42,154.00",992.47K,-3.11%
3/31/2022,"43,508.00","45,133.00","45,494.00","43,508.00",470.42K,-3.60%
