Date,Price,Open,High,Low,Vol,Change %
9/10/2018,"50,764.40","50,764.40","51,178.00","50,505.90",400.76K,0.00%
9/7/2018,"50,764.40","49,627.10","50,867.80","49,627.10",612.57K,2.29%
9/6/2018,"49,627.10","50,402.50","51,074.60","49,627.10",977.94K,-1.54%
9/5/2018,"50,402.50","51,591.50","51,591.50","50,144.10",1.26M,-2.50%
9/4/2018,"51,694.90","52,987.30","53,452.50","51,694.90",1.56M,-3.01%
8/31/2018,"53,297.50","54,744.90","54,796.60","53,297.50",1.29M,-2.74%
8/30/2018,"54,796.60","53,814.40","55,055.10","53,297.50",987.93K,1.83%
8/29/2018,"53,814.40","53,245.80","54,072.90","53,194.10",936.02K,1.07%
8/28/2018,"53,245.80","53,711.00","53,762.70","53,142.40",677.48K,0.00%
8/27/2018,"53,245.80","54,176.30","54,383.00","53,090.70",889.69K,-0.87%
8/24/2018,"53,711.00","53,245.80","54,124.60","53,090.70",641.32K,0.10%
8/23/2018,"53,659.30","53,245.80","53,711.00","52,832.20",810.13K,-0.10%
8/22/2018,"53,711.00","54,279.70","54,383.00","53,142.40",862.86K,-1.05%
8/21/2018,"54,279.70","52,160.20","54,279.70","51,488.10",1.37M,5.11%
8/20/2018,"51,643.20","51,178.00","52,315.30","51,022.90",705.49K,0.91%
8/17/2018,"51,178.00","52,470.30","52,935.60","51,178.00",662.12K,-1.98%
8/16/2018,"52,211.90","50,402.50","52,211.90","50,144.10",865.72K,2.02%
8/15/2018,"51,178.00","52,728.80","53,349.10","50,919.50",1.06M,-2.94%
8/14/2018,"52,728.80","50,919.50","52,728.80","50,454.20",1.92M,4.62%
8/13/2018,"50,402.50","49,627.10","50,402.50","48,955.10",880.82K,1.56%
8/10/2018,"49,627.10","49,523.70","50,454.20","49,368.60",783.38K,0.00%
8/9/2018,"49,627.10","48,076.30","49,730.50","48,024.60",1.11M,3.78%
8/8/2018,"47,817.80","48,076.30","48,283.00","47,559.30",256.85K,1.54%
8/7/2018,"47,094.10","47,554.30","47,809.90","47,042.90",361.55K,-1.50%
